URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
https://paho.org/fhir/esavi/ValueSet/ClasificacionDesenlaceNaranjoVS,0.2.0,active,,ClasificacionDesenlaceNaranjoVS,Clasificación de causalidad Naranjo,"Método de clasificación de causalidad Naranjo",,"Internal"
https://paho.org/fhir/esavi/ValueSet/ClasificacionDesenlaceVS,0.2.0,active,,ClasificacionDesenlaceVS,Desenlaces Tras ESAVI,"Clasificación de Desenlace Tras Sufrir ESAVI",,"Internal"
https://paho.org/fhir/esavi/ValueSet/ClasificacionDesenlaceWHOAEFIVS,0.2.0,active,,ClasificacionDesenlaceWHOAEFIVS,Clasificación de causalidad WHO-AEFI,"Método de clasificación de causalidad WHO-AEFI",,"Internal"
https://paho.org/fhir/esavi/ValueSet/ClasificacionDesenlaceWHOUMCVS,0.2.0,active,,ClasificacionDesenlaceWHOUMCVS,Clasificación de causalidad WHO-UMC,"Método de clasificación de causalidad WHO-UMC",,"Internal"
https://paho.org/fhir/esavi/ValueSet/CodigoMedDRAEnfPreviaVS,0.2.0,active,,CodigoMedDRAEnfPreviaVS,Códigos de MedDRA para representar enfermedades previas en un ESAVI-PAHO,"Describe las enfermedades previas en un ESAVI codificadas en MedDRA",,"Internal"
https://paho.org/fhir/esavi/ValueSet/CodigoMedicamentoVS,0.2.0,active,,CodigoMedicamentoVS,Codigo Medicamento,"Codigo Medicamento",,"SCT,Internal"
https://paho.org/fhir/esavi/ValueSet/CodigoNoWhoVacunaVS,0.2.0,active,,CodigoNoWhoVacunaVS,Código no WHODrug de la Vacuna,"Código no WHODrug de la Vacuna",,"SCT"
https://paho.org/fhir/esavi/ValueSet/CodigoWhoFabricanteVS,0.2.0,active,,CodigoWhoFabricanteVS,Fabricantes Vacuna,"Códigos Fabricantes Vacunas de WHO",,"Internal"
https://paho.org/fhir/esavi/ValueSet/CodigoWhoVacunaVS,0.2.0,active,,CodigoWhoVacunaVS,Codigo WHODrug de la vacuna,"Codificación Estandarizda del código de las Vacunas según WhoDrug",,"Internal"
https://paho.org/fhir/esavi/ValueSet/ComplicacionEmbarazoMedDRAVS,0.2.0,active,,ComplicacionEmbarazoMedDRAVS,Códigos MEDDRA Complicaciones en Embarazo ESAVI,"Codificacion Estandarizada de diagnóticos de complicaciones de embarazo mediante códigos MedDRA",,"Internal"
https://paho.org/fhir/esavi/ValueSet/ComplicacionEmbarazoOtroVS,0.2.0,active,,ComplicacionEmbarazoOtroVS,Otros Códigos Complicaciones en Embarazo ESAVI,"Codificacion Estandarizada de diagnóticos de complicaciones de embarazo mediante códigos Snomed y CIE-10",,"SCT,hl7.terminology.r4"
https://paho.org/fhir/esavi/ValueSet/ComplicacionEmbarazoVS,0.2.0,active,,ComplicacionEmbarazoVS,Complicaciones Embarazo,"Conjunto de Valores para la Sección de Complicaciones Embarazo ESAVI",,"Internal"
https://paho.org/fhir/esavi/ValueSet/DirOrgNotiVS,0.2.0,active,,DirOrgNotiVS,Códigos PAHO para Direcciones,"Conjunto de Valores para dirección según OPS",,"Internal"
